Project Name,Number of Revisions,Number of Authors,Number of Source Files,Number of Source LOC,Date of First Commit
abdera,1500,16,679,94346,2006-06-16
accumulo,11665,190,2075,551938,2011-10-04
ace,1603,15,529,93486,2009-05-08
activemq,11316,167,4338,663856,2005-12-12
airavata,9790,87,1072,922647,2011-07-09
ambari,24811,249,3329,690199,2011-08-30
anakia,0,0,0,0,0
ant,14918,118,1325,286868,2000-01-13
ant-antlibs-antunit,234,15,37,5365,2005-04-15
any23,2074,45,439,54062,2008-12-18
apex-core,6122,79,474,107595,2012-06-06
archiva,8783,50,1023,190764,2005-11-23
aries,5901,58,2065,264727,2009-09-29
avro,3545,339,708,130169,2009-04-09
ws-axiom,5000,34,2047,148348,2006-02-01
axis-axis2-java-core,14130,87,3031,505694,2004-09-02
beam,38297,1263,5575,1074639,2014-12-13
beehive,0,0,0,0,0
bigtop,2937,196,205,15601,2011-07-19
bookkeeper,3044,211,2312,407436,2011-03-30
brooklyn,226,34,0,0,2011-06-10
bval,1123,17,323,37486,2010-03-12
calcite,5111,432,2262,586071,2012-04-19
camel,62550,1253,20347,2731148,2007-03-19
carbondata,4962,259,1144,213402,2016-03-02
cassandra,28308,527,3816,865787,2009-03-02
cayenne,7077,75,3815,451210,2007-01-21
chainsaw,934,9,189,43800,2000-12-14
chemistry,492,14,0,0,2009-04-30
chukwa,854,20,469,64803,2008-08-12
clerezza,2341,28,246,26750,2009-11-30
click,5009,13,461,113082,2004-12-29
cloudstack,35672,620,6105,1039326,2010-08-11
cocoon,13198,73,2531,374012,2003-02-27
commons-bcel,2391,47,611,84390,2001-10-29
commons-beanutils,1613,55,278,68625,2001-03-27
commons-bsf,514,21,77,12490,2002-11-01
commons-chain,702,31,153,18963,2003-08-11
commons-cli,1264,61,52,11496,2002-06-10
commons-codec,2327,54,147,43346,2003-04-25
commons-collections,3892,105,598,128453,2001-04-14
commons-compress,3930,86,560,120919,2003-11-23
commons-configuration,3767,49,463,105805,2003-12-23
commons-crypto,1213,40,101,14805,2015-03-27
commons-csv,2028,51,48,14894,2005-12-17
commons-daemon,1475,36,18,3340,2003-09-04
commons-dbcp,2784,65,137,49151,2001-04-14
commons-dbutils,939,38,96,14841,2003-11-02
commons-digester,2231,35,315,42979,2001-05-03
commons-email,1116,37,49,12418,2004-11-25
commons-exec,848,28,52,7768,2005-07-29
commons-fileupload,1323,53,73,11662,2002-03-24
commons-functor,885,24,396,43398,2003-01-27
commons-geometry,568,18,488,134154,2018-04-07
commons-httpclient,0,0,0,0,0
commons-imaging,1736,44,582,71596,2007-10-06
commons-io,3986,117,469,90415,2002-01-25
commons-jci,469,23,66,7464,2005-01-03
commons-jcs,2003,33,572,101570,2002-04-07
commons-jelly,1960,44,552,63432,2002-02-11
commons-jexl,2333,38,200,57975,2002-04-26
commons-jxpath,673,29,248,41467,2001-08-23
commons-lang,7110,231,464,169647,2002-07-19
commons-logging,1189,42,68,13078,2001-08-02
commons-math,7122,82,1154,259118,2003-05-12
commons-net,2746,48,277,52371,2002-04-03
commons-numbers,1337,23,194,60021,2017-01-04
commons-ognl,882,18,305,34271,2011-05-05
commons-pool,2644,64,112,29626,2001-04-14
commons-proxy,597,15,104,10549,2005-08-21
commons-rdf,1404,19,165,19373,2014-06-06
commons-rng,1701,18,420,96591,2016-08-07
commons-scxml,1338,20,175,27551,2005-08-17
commons-statistics,652,11,137,29046,2018-01-03
commons-text,1812,62,194,50934,2014-11-11
commons-validator,1742,55,150,33789,2002-01-06
commons-vfs,3558,63,582,75524,2002-07-16
commons-weaver,560,12,115,10604,2012-11-19
ant-antlibs-compress,322,5,104,9858,2009-01-01
continuum,4870,30,711,141550,2005-04-11
cordova,41,10,0,0,2018-02-21
crunch,1093,56,730,88558,2011-10-09
ctakes,37,2,1760,285513,2022-11-29
curator,2774,141,694,93581,2011-07-14
cxf,17110,243,7342,1016628,2008-04-23
daffodil,3796,68,47,3827,2011-07-29
datafu,605,45,261,44882,2011-09-22
deltaspike,2496,74,1832,148624,2011-12-22
derby,8269,37,2864,1240088,2004-08-11
devicemap-browsermap,28,3,0,0,2013-07-25
directmemory,642,10,169,20510,2011-10-12
directory-ldap-api,5928,24,1504,368307,2006-01-13
directory-server,9926,41,1273,319431,2004-01-31
directory-studio,5742,17,1853,397984,2006-11-16
ant-antlibs-dotnet,85,3,22,6636,2005-04-15
drill,4385,222,4646,936382,2012-09-03
ecs,0,0,0,0,0
empire-db,1477,15,351,76334,2008-08-04
etch,549,13,422,95767,2008-07-29
excalibur,0,0,0,0,0
falcon,2227,58,850,176574,2011-11-24
felix,15556,60,0,0,2005-07-19
flink,32647,1640,13093,2301150,2010-12-15
flume,1966,82,724,138322,2011-08-09
fluo,1016,36,292,42554,2013-06-19
fluo-recipes,200,5,96,11887,2015-09-03
fluo-yarn,27,4,3,399,2017-08-04
xmlgraphics-fop,8469,45,2063,376659,1999-10-31
forrest,9184,40,252,32456,2002-02-06
directory-fortress-core,1978,17,325,126622,2011-09-11
freemarker,2334,37,868,147447,2010-03-14
ftpserver,977,13,329,41711,2003-03-31
geode,11246,205,8580,2004041,2015-04-28
geronimo,13137,61,3516,426778,2003-08-07
giraph,1138,49,1516,180307,2011-08-06
gora,1395,71,617,84136,2010-10-08
groovy,20072,449,1794,341915,2003-08-28
guacamole-client,6301,102,789,102593,2010-06-25
hama,1595,25,427,76153,2008-06-19
harmony,956,24,7607,1791078,2005-09-29
hbase,19565,616,4800,1208337,2007-04-03
helix,4346,87,1416,266302,2011-06-21
hive,16574,511,7691,2224907,2008-09-02
hivemind,0,0,0,0,0
hop,5272,64,3848,943681,2019-09-24
httpcomponents-client,3424,100,715,119758,2005-12-21
httpcomponents-core,3725,79,937,135357,2005-02-08
hudi,3764,415,2220,369032,2016-12-16
ignite,28430,459,11547,2445607,2014-02-20
iotdb,8439,326,3905,708222,2017-05-07
isis,21900,72,5996,539004,2004-07-30
ant-ivy,3040,35,664,118896,2005-06-16
ant-ivyde,847,16,210,25925,2007-01-24
jackrabbit,9066,51,3134,614934,2004-09-13
jakarta-cactus,0,0,0,0,0
james-project,14323,128,5686,722214,2006-09-30
